"REF_DATE","GEO","DGUID","Level of study","Field of study","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Males","Average age at graduation","Years","308","units","0","v1233934390","1.1.4.2.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Males","Median age at graduation","Years","308","units","0","v1233934391","1.1.4.2.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934392","1.1.4.2.4","54","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934393","1.1.4.2.5","60","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Females","Number of graduates","Number","223","units","0","v1233934394","1.1.4.3.1","12210","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Females","Average age at graduation","Years","308","units","0","v1233934395","1.1.4.3.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Females","Median age at graduation","Years","308","units","0","v1233934396","1.1.4.3.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934397","1.1.4.3.4","59","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934398","1.1.4.3.5","60","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Both sexes","Number of graduates","Number","223","units","0","v1233934399","1.1.5.1.1","70360","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Both sexes","Average age at graduation","Years","308","units","0","v1233934400","1.1.5.1.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Both sexes","Median age at graduation","Years","308","units","0","v1233934401","1.1.5.1.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934402","1.1.5.1.4","61","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934403","1.1.5.1.5","47","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Males","Number of graduates","Number","223","units","0","v1233934404","1.1.5.2.1","19040","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Males","Average age at graduation","Years","308","units","0","v1233934405","1.1.5.2.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Males","Median age at graduation","Years","308","units","0","v1233934406","1.1.5.2.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934407","1.1.5.2.4","55","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934408","1.1.5.2.5","43","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Females","Number of graduates","Number","223","units","0","v1233934409","1.1.5.3.1","51320","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Females","Average age at graduation","Years","308","units","0","v1233934410","1.1.5.3.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Females","Median age at graduation","Years","308","units","0","v1233934411","1.1.5.3.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934412","1.1.5.3.4","64","","","","0"
"2015","Canada","2016A000011124","All levels of study","Social and behavioural sciences and law [4]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934413","1.1.5.3.5","48","","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Both sexes","Number of graduates","Number","223","units","0","v1233934414","1.1.6.1.1","93580","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Both sexes","Average age at graduation","Years","308","units","0","v1233934415","1.1.6.1.2","28","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Both sexes","Median age at graduation","Years","308","units","0","v1233934416","1.1.6.1.3","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934417","1.1.6.1.4","49","","","","0"
"2015","Canada","2016A000011124","All levels of study","Business, management and public administration [5]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934418","1.1.6.1.5","36","","","","0"
